,correct_num,wrong_num,predict_num,missed_num,support,precision,recall,f1
1,469.0,245.0,714.0,538.0,1007.0,0.6569,0.4657,0.545
2,3150.0,484.0,3634.0,710.0,3860.0,0.8668,0.8161,0.8407
3,1316.0,313.0,1629.0,413.0,1729.0,0.8079,0.7611,0.7838
4,566.0,186.0,752.0,238.0,804.0,0.7527,0.704,0.7275
5,322.0,148.0,470.0,168.0,490.0,0.6851,0.6571,0.6708
6,230.0,85.0,315.0,108.0,338.0,0.7302,0.6805,0.7044
7,129.0,64.0,193.0,78.0,207.0,0.6684,0.6232,0.645
8,122.0,59.0,181.0,68.0,190.0,0.674,0.6421,0.6577
9,88.0,45.0,133.0,53.0,141.0,0.6617,0.6241,0.6423
10,75.0,38.0,113.0,34.0,109.0,0.6637,0.6881,0.6757
11,46.0,34.0,80.0,31.0,77.0,0.575,0.5974,0.586
12,42.0,27.0,69.0,27.0,69.0,0.6087,0.6087,0.6087
13,32.0,14.0,46.0,19.0,51.0,0.6957,0.6275,0.6598
14,23.0,20.0,43.0,20.0,43.0,0.5349,0.5349,0.5349
15,16.0,15.0,31.0,19.0,35.0,0.5161,0.4571,0.4848
16,11.0,10.0,21.0,12.0,23.0,0.5238,0.4783,0.5
17,12.0,4.0,16.0,17.0,29.0,0.75,0.4138,0.5333
18,13.0,5.0,18.0,9.0,22.0,0.7222,0.5909,0.65
19,12.0,8.0,20.0,12.0,24.0,0.6,0.5,0.5455
20,11.0,5.0,16.0,5.0,16.0,0.6875,0.6875,0.6875
21,12.0,4.0,16.0,8.0,20.0,0.75,0.6,0.6667
22,6.0,5.0,11.0,2.0,8.0,0.5455,0.75,0.6316
23,10.0,2.0,12.0,6.0,16.0,0.8333,0.625,0.7143
24,5.0,8.0,13.0,5.0,10.0,0.3846,0.5,0.4348
25,6.0,13.0,19.0,8.0,14.0,0.3158,0.4286,0.3636
26,0.0,4.0,4.0,6.0,6.0,0.0,0.0,
27,5.0,4.0,9.0,2.0,7.0,0.5556,0.7143,0.625
28,1.0,1.0,2.0,2.0,3.0,0.5,0.3333,0.4
29,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5
30,1.0,6.0,7.0,2.0,3.0,0.1429,0.3333,0.2
31,1.0,1.0,2.0,4.0,5.0,0.5,0.2,0.2857
32,0.0,0.0,0.0,7.0,7.0,,0.0,
33,0.0,0.0,0.0,1.0,1.0,,0.0,
34,0.0,0.0,0.0,1.0,1.0,,0.0,
35,0.0,0.0,0.0,2.0,2.0,,0.0,
36,0.0,0.0,0.0,0.0,0.0,,,
37,0.0,0.0,0.0,1.0,1.0,,0.0,
38,0.0,0.0,0.0,4.0,4.0,,0.0,
39,0.0,0.0,0.0,2.0,2.0,,0.0,
40,0.0,0.0,0.0,1.0,1.0,,0.0,
41,0.0,0.0,0.0,2.0,2.0,,0.0,
42,0.0,0.0,0.0,1.0,1.0,,0.0,
43,0.0,0.0,0.0,1.0,1.0,,0.0,
44,0.0,0.0,0.0,2.0,2.0,,0.0,
45,0.0,0.0,0.0,0.0,0.0,,,
46,0.0,0.0,0.0,0.0,0.0,,,
47,0.0,0.0,0.0,1.0,1.0,,0.0,
48,0.0,0.0,0.0,0.0,0.0,,,
49,0.0,0.0,0.0,0.0,0.0,,,
50,0.0,0.0,0.0,0.0,0.0,,,
51,0.0,0.0,0.0,0.0,0.0,,,
52,0.0,0.0,0.0,0.0,0.0,,,
53,0.0,0.0,0.0,0.0,0.0,,,
54,0.0,0.0,0.0,1.0,1.0,,0.0,
55,0.0,0.0,0.0,0.0,0.0,,,
56,0.0,0.0,0.0,0.0,0.0,,,
57,0.0,0.0,0.0,0.0,0.0,,,
58,0.0,0.0,0.0,0.0,0.0,,,
59,0.0,0.0,0.0,0.0,0.0,,,
60,0.0,0.0,0.0,1.0,1.0,,0.0,
61,0.0,0.0,0.0,0.0,0.0,,,
62,0.0,0.0,0.0,0.0,0.0,,,
63,0.0,0.0,0.0,0.0,0.0,,,
64,0.0,0.0,0.0,1.0,1.0,,0.0,
65,0.0,0.0,0.0,0.0,0.0,,,
66,0.0,0.0,0.0,0.0,0.0,,,
67,0.0,0.0,0.0,0.0,0.0,,,
68,0.0,0.0,0.0,0.0,0.0,,,
69,0.0,0.0,0.0,0.0,0.0,,,
70,0.0,0.0,0.0,0.0,0.0,,,
71,0.0,0.0,0.0,0.0,0.0,,,
72,0.0,0.0,0.0,0.0,0.0,,,
73,0.0,0.0,0.0,0.0,0.0,,,
74,0.0,0.0,0.0,0.0,0.0,,,
75,0.0,0.0,0.0,0.0,0.0,,,
76,0.0,0.0,0.0,0.0,0.0,,,
77,0.0,0.0,0.0,0.0,0.0,,,
78,0.0,0.0,0.0,0.0,0.0,,,
79,0.0,0.0,0.0,0.0,0.0,,,
80,0.0,0.0,0.0,0.0,0.0,,,
81,0.0,0.0,0.0,0.0,0.0,,,
82,0.0,0.0,0.0,1.0,1.0,,0.0,
83,0.0,0.0,0.0,0.0,0.0,,,
84,0.0,0.0,0.0,0.0,0.0,,,
85,0.0,0.0,0.0,0.0,0.0,,,
86,0.0,0.0,0.0,0.0,0.0,,,
87,0.0,0.0,0.0,0.0,0.0,,,
88,0.0,0.0,0.0,0.0,0.0,,,
89,0.0,0.0,0.0,0.0,0.0,,,
90,0.0,0.0,0.0,0.0,0.0,,,
91,0.0,0.0,0.0,0.0,0.0,,,
92,0.0,0.0,0.0,0.0,0.0,,,
93,0.0,0.0,0.0,0.0,0.0,,,
94,0.0,0.0,0.0,0.0,0.0,,,
95,0.0,0.0,0.0,0.0,0.0,,,
96,0.0,0.0,0.0,0.0,0.0,,,
97,0.0,0.0,0.0,0.0,0.0,,,
98,0.0,0.0,0.0,0.0,0.0,,,
99,0.0,0.0,0.0,0.0,0.0,,,
100,0.0,0.0,0.0,0.0,0.0,,,
101,0.0,0.0,0.0,0.0,0.0,,,
102,0.0,0.0,0.0,0.0,0.0,,,
103,0.0,0.0,0.0,0.0,0.0,,,
104,0.0,0.0,0.0,0.0,0.0,,,
105,0.0,0.0,0.0,0.0,0.0,,,
106,0.0,0.0,0.0,0.0,0.0,,,
107,0.0,0.0,0.0,0.0,0.0,,,
108,0.0,0.0,0.0,0.0,0.0,,,
109,0.0,0.0,0.0,0.0,0.0,,,
